normalized_name,description,category,price_usd,cash_price_usd,online_price_usd,pdf_price_usd,excel_codes,pdf_codes,sources
cornflakes kellogs 500g,Cornflakes Kellogs 500g,003 - CEREALS,3.15,3.0,3.15,,CON,,excel
cornflakes mamas,CornFlakes Mamas,003 - CEREALS,,,0.0,,COR,,excel
cornflakes willards,CornFLakes Willards,003 - CEREALS,2.31,2.2,2.31,,CORN,,excel
cosmo foam bath,Cosmo Foam Bath,005 - COSMETICS,1.05,1.0,1.05,,COSMO,,excel
cough drops,Cough drops,012 - SNACK,0.525,0.5,0.525,,COU,,excel
covo bunches,Covo - Bunches,,0.5,,,0.5,,DCOO1,pdf
cracker jax,Cracker Jax,012 - SNACK,,,0.0,,CRAC,,excel
creamfeast,CreamFeast,012 - SNACK,,,0.0,,CRM,,excel
crinkles big,Crinkles big,012 - SNACK,,,0.0,,CRINK,,excel
cucumber,Cucumber,013 - SOUPS,,,0.0,,CUC,,excel
cucumber big pack,Cucumber - Big Pack,,1.0,,,1.0,,VCUC02,pdf
daisy biscuits,Daisy Biscuits,012 - SNACK,0.525,0.5,0.525,,DAI,,excel
dandy pack,Dandy Pack,012 - SNACK,2.625,2.5,2.625,,DAND,,excel
dark and lovely,Dark& Lovely,005 - COSMETICS,5.775,5.5,5.775,,DAR,,excel
dawn,Dawn,005 - COSMETICS,,,0.0,,DAW,,excel
dawn cream,Dawn Cream,005 - COSMETICS,,,0.0,,DAWN,,excel
dax 3 in 1 375mls,Dax 3 in 1 375mls,005 - COSMETICS,1.575,1.5,1.575,,DAX31,,excel
dax big 3 n 1,Dax Big 3 n 1,005 - COSMETICS,2.625,2.5,2.625,,DXB,,excel
dax freez big 250ml,Dax Freez Big 250ml,005 - COSMETICS,2.1,2.0,2.1,,DAXI,,excel
dax freez small 100ml,Dax Freez Small 100ml,005 - COSMETICS,1.26,1.2,1.26,,DXA,,excel
dax hair grower 125mls,Dax Hair Grower 125mls,005 - COSMETICS,1.575,1.5,1.575,,DAXH,,excel
dax hair grower 250ml,Dax Hair Grower 250ml,005 - COSMETICS,3.15,3.0,3.15,,DAXG,,excel
dell cookies 1kg,Dell cookies 1kg,012 - SNACK,,,0.0,,DELLC,,excel
dell cookies 500ml,Dell Cookies 500ml,012 - SNACK,1.8900000000000001,1.8,1.8900000000000001,,DELL,,excel
delta 1l,Delta 1L,002 - BEVERAGES,,,0.0,,DEL,,excel
delta 2l,DELTA 2L,002 - BEVERAGES,2.1,2.0,2.1,,DETA,,excel
delta 300ml,Delta 300ml,002 - BEVERAGES,0.34650000000000003,0.33,0.34650000000000003,,DETM,,excel
delta 440ml,Delta 440ml,002 - BEVERAGES,0.525,0.5,0.525,,DELTA,,excel
dettol liquid,Dettol Liquid,019 - TOILETRIES,1.05,1.0,1.05,,DETO,,excel
dettol soap,Dettol soap,019 - TOILETRIES,1.05,1.0,1.05,,DETT,,excel
dishwasher seawave,Dishwasher Seawave,004 - CLEANING PRODUCTS,1.05,1.0,1.05,,DISW,,excel
dishwasher seawave 2l,DishWasher Seawave 2L,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,SEAW,,excel
domestos,Domestos,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,DOMS,,excel
domestos local,Domestos local,004 - CLEANING PRODUCTS,,,0.0,,DOMES,,excel
donunt,Donunt,016 - STARCH,,,0.0,,DON,,excel
doritos 145g,Doritos 145g,012 - SNACK,,,0.0,,DOR,,excel
dove lotion,Dove Lotion,005 - COSMETICS,5.775,5.5,5.775,,DOVE,,excel
dragon,Dragon,002 - BEVERAGES,1.05,1.0,1.05,,DRA,,excel
easywaves pack,EasyWaves Pack,005 - COSMETICS,,,0.0,,EWP,,excel
eclair big boom pack,Eclair/Big Boom Pack,012 - SNACK,3.465,3.3,3.465,,ECLAI,,excel
egg plant kg,Egg plant - kg,,1.0,,,1.0,,EG,pdf
eggs,Eggs,013 - SOUPS,,,0.0,,EGG,,excel
eggs trays,Eggs Trays,,4.0,,,4.0,,EGT,pdf
ekono macaron 3kg,Ekono Macaron 3kg,016 - STARCH,4.2,4.0,4.2,,EKON,,excel
ekono rice white 2kg,Ekono Rice white 2kg,016 - STARCH,2.31,2.2,2.31,,EKN,,excel
ekono spaghett box 8kg,Ekono Spaghett - Box (8kg),016 - STARCH,,,0.0,,EKSP01,,excel
ekono white rice 5kg,Ekono white Rice 5kg,016 - STARCH,,,0.0,,EKO,,excel
eldos 30g,Eldos - 30g,012 - SNACK,,,0.0,,ELD30,,excel
english blazer,English Blazer,005 - COSMETICS,2.625,2.5,2.625,,ENG,,excel
english cucumber,English Cucumber,,1.0,,,1.0,,NFI01,pdf
epimax cream 400g,Epimax Cream 400g,001 - BABY,5.775,5.5,5.775,,EPX,,excel
exclamation perfume,Exclamation Perfume,005 - COSMETICS,2.1,2.0,2.1,,EXCLA,,excel
finger biscuits,Finger Biscuits,012 - SNACK,0.525,0.5,0.525,,FIN,,excel
fizzi 2l,Fizzi 2L,002 - BEVERAGES,1.05,1.0,1.05,,FIZZ,,excel
fizzi 500ml,Fizzi 500ml,002 - BEVERAGES,,,0.0,,FIZ,,excel
flava burst 5l,Flava Burst 5L,002 - BEVERAGES,2.1,2.0,2.1,,FRT,,excel
fresh up 400ml,Fresh-Up - 400ml,002 - BEVERAGES,0.525,0.5,0.525,,FRMIX,,excel
frimax 150g,Frimax 150g,012 - SNACK,1.575,1.5,1.575,,FRI,,excel
frugo 300mls,Frugo 300mls,002 - BEVERAGES,,,0.0,,FRUG,,excel
fruitade,Fruitade,002 - BEVERAGES,1.575,1.5,1.575,,FRU,,excel
fruitade guava,Fruitade Guava,002 - BEVERAGES,,,0.0,,FRUT,,excel
fruitcana,Fruitcana,002 - BEVERAGES,0.525,0.5,0.525,,FRUTC,,excel
frutesca 430mls,Frutesca 430mls,002 - BEVERAGES,1.05,1.0,1.05,,FRUI,,excel
fun n fresh,Fun 'n Fresh,002 - BEVERAGES,1.365,1.3,1.365,,FUN,,excel
